Date,Open,Day Low,Day High,Close,Volume
2017-06-26,147.17,145.38,148.28,145.82,25692361
2017-06-27,145.01,143.62,146.16,143.73,24761891
2017-06-28,144.49,143.1601,146.11,145.83,22082432
2017-06-29,144.71,142.28,145.13,143.68,31499368
2017-06-30,144.45,143.78,144.96,144.02,23024107
2017-07-03,144.88,143.1,145.3001,143.5,14277848
2017-07-05,143.69,142.7237,144.79,144.09,21569557
2017-07-06,143.02,142.41,143.5,142.73,24128782
2017-07-07,142.9,142.9,144.75,144.18,19201712
2017-07-10,144.11,143.37,145.95,145.06,21090636
2017-07-11,144.73,144.38,145.85,145.53,19781836
2017-07-12,145.87,144.82,146.18,145.74,24884478
2017-07-13,145.5,145.44,148.49,147.77,25199373
2017-07-14,147.97,147.33,149.33,149.04,20132061
2017-07-17,148.82,148.57,150.9,149.56,23793456
2017-07-18,149.2,148.67,150.13,150.08,17868792
2017-07-19,150.48,149.95,151.42,151.02,20922969
2017-07-20,151.5,150.19,151.74,150.34,17243748
2017-07-21,149.99,148.88,150.44,150.27,26252630
2017-07-24,150.58,149.9,152.44,152.09,21493160
2017-07-25,151.8,151.8,153.84,152.74,18853932
2017-07-26,153.35,153.06,153.93,153.46,15780951
2017-07-27,153.75,147.3,153.99,150.56,32476337
2017-07-28,149.89,149.19,150.23,149.5,17213653
2017-07-31,149.9,148.13,150.33,148.73,19845920
2017-08-01,149.1,148.41,150.22,150.05,35368645
2017-08-02,159.28,156.16,159.75,157.14,69936800
2017-08-03,157.05,155.02,157.21,155.57,27097296
2017-08-04,156.07,155.69,157.4,156.39,20559852
2017-08-07,157.06,156.6701,158.92,158.81,21870321
2017-08-08,158.6,158.27,161.83,160.08,36205896
2017-08-09,159.26,159.11,161.27,161.06,26131530
2017-08-10,159.9,154.63,160,155.32,40804273
2017-08-11,156.6,156.07,158.5728,157.48,26257096
2017-08-14,159.32,158.75,160.21,159.85,22122734
2017-08-15,160.66,160.14,162.195,161.6,29465487
2017-08-16,161.94,160.15,162.51,160.95,27671612
2017-08-17,160.52,157.84,160.71,157.86,27940565
2017-08-18,157.86,156.72,159.5,157.5,27428069
2017-08-21,157.5,155.1101,157.89,157.21,26368528
2017-08-22,158.23,158.02,160,159.78,21604585
2017-08-23,159.07,158.88,160.47,159.98,19399081
2017-08-24,160.43,158.55,160.74,159.27,19818918
2017-08-25,159.65,159.27,160.56,159.86,25480063
2017-08-28,160.14,159.93,162,161.47,25965972
2017-08-29,160.1,160,163.12,162.91,29516910
2017-08-30,163.8,162.61,163.89,163.35,27269584
2017-08-31,163.64,163.48,164.52,164,26785096
2017-09-01,164.8,163.63,164.94,164.05,16591051
2017-09-05,163.75,160.56,164.25,162.08,29536314
2017-09-06,162.71,160.52,162.99,161.91,21651726
2017-09-07,162.09,160.36,162.24,161.26,21928502
2017-09-08,160.86,158.53,161.15,158.63,28611535
2017-09-11,160.5,159.89,162.05,161.5,31580798
2017-09-12,162.61,158.77,163.96,160.86,71714046
2017-09-13,159.87,157.91,159.96,159.65,44907361
2017-09-14,158.99,158.09,159.4,158.28,23760749
2017-09-15,158.47,158,160.97,159.88,49114602
2017-09-18,160.11,157.995,160.5,158.67,28269435
2017-09-19,159.51,158.44,159.77,158.73,20810632
2017-09-20,157.9,153.83,158.26,156.07,52951364
2017-09-21,155.8,152.75,155.8,153.39,37511661
2017-09-22,152.02,150.56,152.27,151.89,46645443
2017-09-25,149.99,149.16,151.83,150.55,44387336
2017-09-26,151.78,151.69,153.92,153.14,36660045
2017-09-27,153.8,153.54,154.7189,154.23,25504227
2017-09-28,153.89,152.7,154.28,153.28,22005455
2017-09-29,153.21,152,154.13,154.12,26299810
2017-10-02,154.26,152.72,154.45,153.81,18698842
2017-10-03,154.01,153.91,155.09,154.48,16230293
2017-10-04,153.63,152.46,153.86,153.48,20163750
2017-10-05,154.18,154.05,155.44,155.39,21283769
2017-10-06,154.97,154.56,155.49,155.3,17407558
2017-10-09,155.81,155.485,156.73,155.84,16262923
2017-10-10,156.055,155.1,158,155.9,15617014
2017-10-11,155.97,155.75,156.98,156.55,16905640
2017-10-12,156.35,155.7299,157.37,156,16125054
2017-10-13,156.73,156.41,157.28,156.99,16394188
2017-10-16,157.9,157.65,160,159.88,24121452
2017-10-17,159.78,159.23,160.87,160.47,18997275
2017-10-18,160.42,159.6,160.71,159.76,16374164
2017-10-19,156.75,155.02,157.08,155.98,42584166
2017-10-20,156.61,155.96,157.75,156.25,23974146
2017-10-23,156.89,155.5,157.69,156.17,21984327
2017-10-24,156.29,156.2,157.42,157.1,17757230
2017-10-25,156.91,155.27,157.55,156.41,21207098
2017-10-26,157.23,156.78,157.8295,157.41,17000469
2017-10-27,159.29,158.7,163.6,163.05,44454160
2017-10-30,163.89,163.72,168.07,166.72,44700772
2017-10-31,167.9,166.94,169.6499,169.04,36046828
2017-11-01,169.87,165.61,169.94,166.89,33637762
2017-11-02,167.64,165.28,168.5,168.11,41393373
2017-11-03,174,171.12,174.26,172.5,59398631
2017-11-06,172.365,171.72,174.99,174.25,35026306
2017-11-07,173.91,173.6,175.25,174.81,24361485
2017-11-08,174.66,174.33,176.24,176.24,24409527
2017-11-09,175.11,173.14,176.095,175.88,29482596
2017-11-10,175.11,174.27,175.38,174.67,25145500
2017-11-13,173.5,173.4,174.5,173.97,16982080
2017-11-14,173.04,171.18,173.48,171.34,24782487
2017-11-15,169.97,168.38,170.3197,169.08,29158070
2017-11-16,171.18,170.3,171.87,171.1,23637484
2017-11-17,171.04,169.64,171.39,170.15,21899544
2017-11-20,170.29,169.56,170.56,169.98,16262447
2017-11-21,170.78,170.78,173.7,173.14,25131295
2017-11-22,173.36,173.05,175,174.96,25588925
2017-11-24,175.1,174.6459,175.5,174.97,14026673
2017-11-27,175.05,173.34,175.08,174.09,20716802
2017-11-28,174.3,171.86,174.87,173.07,26428802
2017-11-29,172.63,167.16,172.92,169.48,41666364
2017-11-30,170.43,168.44,172.14,171.85,41527218
2017-12-01,169.95,168.5,171.67,171.05,39759288
2017-12-04,172.48,169.63,172.62,169.8,32542385
2017-12-05,169.06,168.4,171.52,169.64,27350154
2017-12-06,167.5,166.46,170.2047,169.01,28560000
2017-12-07,169.03,168.91,170.44,169.32,25673308
2017-12-08,170.49,168.82,171,169.37,23355231
2017-12-11,169.2,168.79,172.89,172.67,35273759
2017-12-12,172.15,171.461,172.39,171.7,19409230
2017-12-13,172.5,172,173.54,172.27,23818447
2017-12-14,172.4,171.65,173.13,172.22,20476541
2017-12-15,173.63,172.46,174.17,173.97,40169307
2017-12-18,174.88,174.86,177.2,176.42,29421114
2017-12-19,175.03,174.09,175.39,174.54,27436447
2017-12-20,174.87,173.25,175.42,174.35,23475649
2017-12-21,174.17,174.1,176.02,175.01,20949896
2017-12-22,174.68,174.5,175.424,175.01,16349444
2017-12-26,170.8,169.679,171.47,170.57,33185536
2017-12-27,170.1,169.71,170.78,170.6,21498213
2017-12-28,171,170.48,171.85,171.08,16480187
2017-12-29,170.52,169.22,170.59,169.23,25999922
2018-01-02,170.16,169.26,172.3,172.26,25555934
2018-01-03,172.53,171.96,174.55,172.23,29517899
2018-01-04,172.54,172.08,173.47,173.03,22434597
2018-01-05,173.44,173.05,175.37,175,23660018
2018-01-08,174.35,173.93,175.61,174.35,20567766
2018-01-09,174.55,173.41,175.06,174.33,21583997
2018-01-10,173.16,173,174.3,174.29,23959895
2018-01-11,174.59,174.49,175.4886,175.28,18667729
2018-01-12,176.18,175.65,177.36,177.09,25418080
2018-01-16,177.9,176.14,179.39,176.19,29565947
2018-01-17,176.15,175.07,179.25,179.1,34386836
2018-01-18,179.37,178.25,180.1,179.26,31193352
2018-01-19,178.61,177.41,179.58,178.46,32425067
2018-01-22,177.3,176.6016,177.78,177,27108551
2018-01-23,177.3,176.82,179.44,177.04,32689146
2018-01-24,177.25,173.2,177.3,174.22,51105090
2018-01-25,174.505,170.53,174.95,171.11,41529004
2018-01-26,172,170.06,172,171.51,39143011
2018-01-29,170.16,167.07,170.16,167.96,50640406
2018-01-30,165.525,164.7,167.37,166.97,46048185
2018-01-31,166.87,166.5,168.4417,167.43,32478930
2018-02-01,167.165,166.76,168.62,167.78,47230787
2018-02-02,166,160.1,166.8,160.5,86593825
2018-02-05,159.1,156,163.88,156.49,72738522
2018-02-06,154.83,154,163.72,163.03,68243838
2018-02-07,163.085,159.0685,163.4,159.54,51608580
2018-02-08,160.29,155.03,161,155.15,54390516
2018-02-09,157.07,150.24,157.89,156.41,70672608
2018-02-12,158.5,157.51,163.89,162.71,60819539
2018-02-13,161.95,161.65,164.75,164.34,32549163
2018-02-14,163.045,162.88,167.54,167.37,40644933
2018-02-15,169.79,169,173.09,172.99,51147171
2018-02-16,172.36,171.77,174.82,172.43,40176091
2018-02-20,172.05,171.42,174.26,171.85,33930540
2018-02-21,172.83,171.01,174.12,171.07,37471623
2018-02-22,171.8,171.71,173.95,172.5,30991940
